Symbol,INTC,LCID,MARA,NVDA,PLTR,PLUG,SMCI,SOFI,SOUN,TSLA
INTC,1.0,0.26067257497149615,0.40554237926604747,-0.8331986161663425,-0.6459009861100194,0.8806130650119546,0.2641770374213456,-0.2050012162933823,-0.46827438803792026,-0.3287601810921243
LCID,0.26067257497149615,1.0,0.00014691041208318007,-0.4627727315206909,-0.429614487613108,0.42743904667492955,-0.20553553190539478,-0.3049722932508,-0.49513695676036795,-0.04607204200616583
MARA,0.40554237926604747,0.00014691041208318007,1.0,-0.13039299516802963,0.08824863932537075,0.4247049901240455,0.13352974442357304,0.3762314257906211,0.20069142328774273,0.26049603513941183
NVDA,-0.8331986161663425,-0.4627727315206909,-0.13039299516802963,1.0,0.7556830674275296,-0.7970644894745024,-0.06427412610567033,0.3283137680641366,0.640470994138703,0.4240287307651226
PLTR,-0.6459009861100194,-0.429614487613108,0.08824863932537075,0.7556830674275296,1.0,-0.6163067301447589,-0.4290931602561659,0.8177140944822984,0.6953193248047449,0.790315857803591
PLUG,0.8806130650119546,0.42743904667492955,0.4247049901240455,-0.7970644894745024,-0.6163067301447589,1.0,0.19005992995686344,-0.17033586236746479,-0.4732975827148949,-0.29401451431061243
SMCI,0.2641770374213456,-0.20553553190539478,0.13352974442357304,-0.06427412610567033,-0.4290931602561659,0.19005992995686344,1.0,-0.5650112261299872,0.16141487611058197,-0.6841917854044726
SOFI,-0.2050012162933823,-0.3049722932508,0.3762314257906211,0.3283137680641366,0.8177140944822984,-0.17033586236746479,-0.5650112261299872,1.0,0.4699236235957791,0.8298958670014436
SOUN,-0.46827438803792026,-0.49513695676036795,0.20069142328774273,0.640470994138703,0.6953193248047449,-0.4732975827148949,0.16141487611058197,0.4699236235957791,1.0,0.37389670527048874
TSLA,-0.3287601810921243,-0.04607204200616583,0.26049603513941183,0.4240287307651226,0.790315857803591,-0.29401451431061243,-0.6841917854044726,0.8298958670014436,0.37389670527048874,1.0
